s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 3.0617857E+000, 1.0915368E+002,-3.5223477E+001, 1.8560254E+000,-6.3747646E+000, 2.8333378E-001, 0.0000000E+000, 0.0000000E+000, 6.9693981E+001, 6.9694800E+001, 1.9046904E-003, 1.9046904E-003
 3.1229112E+000, 1.0383991E+002,-3.3322298E+001, 1.8107851E+000,-6.6166187E+000, 2.7787319E-001, 0.0000000E+000, 0.0000000E+000, 6.6219282E+001, 6.5989650E+001, 1.9057059E-003, 1.9057059E-003
 3.1840370E+000, 1.0521173E+002,-3.4325298E+001, 1.8848613E+000,-6.8499561E+000, 2.7233804E-001, 0.0000000E+000, 0.0000000E+000, 6.6478200E+001, 6.6193671E+001, 1.9066049E-003, 1.9066049E-003
 3.2407870E+000, 9.2392937E+001,-2.9777157E+001, 1.6287654E+000,-7.0555876E+000, 2.7905913E-001, 0.0000000E+000, 0.0000000E+000, 5.8558950E+001, 5.7468017E+001, 1.9073720E-003, 1.9073720E-003
 3.3038933E+000, 8.4967474E+001,-2.7051424E+001, 1.5176593E+000,-7.3229017E+000, 2.8790199E-001, 0.0000000E+000, 0.0000000E+000, 5.2273238E+001, 5.2398709E+001, 1.9080665E-003, 1.9080665E-003
 3.3612378E+000, 9.2992016E+001,-3.0076192E+001, 1.5902976E+000,-7.5939532E+000, 2.8984254E-001, 0.0000000E+000, 0.0000000E+000, 5.6430471E+001, 5.7202011E+001, 1.9086897E-003, 1.9086897E-003
 3.4209967E+000, 1.0433445E+002,-3.4767704E+001, 1.7128374E+000,-7.8124121E+000, 2.8951510E-001, 0.0000000E+000, 0.0000000E+000, 6.3138658E+001, 6.3756683E+001, 1.9092253E-003, 1.9092253E-003
 3.4807556E+000, 1.1273221E+002,-3.7703619E+001, 1.7987604E+000,-7.9212182E+000, 2.8929024E-001, 0.0000000E+000, 0.0000000E+000, 6.8635176E+001, 6.9195427E+001, 1.9097101E-003, 1.9097101E-003
 3.5405147E+000, 1.1274852E+002,-3.7909992E+001, 1.9845813E+000,-7.9600163E+000, 2.8928864E-001, 0.0000000E+000, 0.0000000E+000, 6.9917224E+001, 6.9152377E+001, 1.9101404E-003, 1.9101404E-003
 3.6000745E+000, 9.2781834E+001,-2.9791530E+001, 1.6057919E+000,-7.9057236E+000, 2.9531269E-001, 0.0000000E+000, 0.0000000E+000, 5.7876784E+001, 5.6985685E+001, 1.9105196E-003, 1.9105196E-003
 3.6647546E+000, 9.0521125E+001,-2.8759903E+001, 1.6339788E+000,-7.8345024E+000, 2.9533964E-001, 0.0000000E+000, 0.0000000E+000, 5.5360298E+001, 5.5856039E+001, 1.9108709E-003, 1.9108709E-003
 3.7247307E+000, 1.0750937E+002,-3.4956807E+001, 1.7389830E+000,-7.8669181E+000, 2.9149794E-001, 0.0000000E+000, 0.0000000E+000, 6.5724519E+001, 6.6716123E+001, 1.9111833E-003, 1.9111833E-003
 3.7829428E+000, 1.1536718E+002,-3.7736593E+001, 1.8208839E+000,-7.8920777E+000, 2.9241643E-001, 0.0000000E+000, 0.0000000E+000, 7.1363139E+001, 7.1851812E+001, 1.9114461E-003, 1.9114461E-003
 3.8455136E+000, 1.0531726E+002,-3.4312090E+001, 1.9202429E+000,-7.9028453E+000, 2.9108171E-001, 0.0000000E+000, 0.0000000E+000, 6.7124251E+001, 6.5313654E+001, 1.9116829E-003, 1.9116829E-003
