s,C
Time,"HD"
 3.5964298E+001, 4.7056941E+001
 3.6008860E+001, 4.7088050E+001
 3.6097984E+001, 4.7134735E+001
 3.6142546E+001, 4.7181385E+001
 3.6187108E+001, 4.7212392E+001
 3.6276232E+001, 4.7258767E+001
 3.6320793E+001, 4.7304979E+001
 3.6365355E+001, 4.7335695E+001
 3.6454479E+001, 4.7381636E+001
 3.6499041E+001, 4.7427521E+001
 3.6543603E+001, 4.7458074E+001
 3.6632727E+001, 4.7503965E+001
 3.6677288E+001, 4.7549910E+001
 3.6721850E+001, 4.7580663E+001
 3.6819886E+001, 4.7631644E+001
 3.6868904E+001, 4.7683059E+001
 3.6917922E+001, 4.7717760E+001
 3.6966941E+001, 4.7752949E+001
 3.7064977E+001, 4.7806613E+001
 3.7113995E+001, 4.7860988E+001
 3.7163013E+001, 4.7897486E+001
 3.7212031E+001, 4.7934017E+001
 3.7261049E+001, 4.7970440E+001
 3.7359085E+001, 4.8024652E+001
 3.7408103E+001, 4.8078296E+001
 3.7457121E+001, 4.8113623E+001
 3.7506139E+001, 4.8148581E+001
 3.7604175E+001, 4.8200210E+001
 3.7653193E+001, 4.8251116E+001
 3.7702211E+001, 4.8284608E+001
 3.7751229E+001, 4.8317837E+001
 3.7800248E+001, 4.8350782E+001
 3.7898284E+001, 4.8399762E+001
 3.7947302E+001, 4.8448304E+001
 3.7996320E+001, 4.8480541E+001
 3.8045338E+001, 4.8512858E+001
 3.8143374E+001, 4.8561987E+001
 3.8192392E+001, 4.8611891E+001
 3.8246312E+001, 4.8649162E+001
 3.8300232E+001, 4.8687003E+001
 3.8354152E+001, 4.8725485E+001
 3.8408071E+001, 4.8764481E+001
 3.8461991E+001, 4.8803746E+001
 3.8569831E+001, 4.8862613E+001
 3.8623751E+001, 4.8921176E+001
 3.8677671E+001, 4.8959849E+001
 3.8731591E+001, 4.8997972E+001
 3.8785511E+001, 4.9035045E+001
 3.8839430E+001, 4.9070841E+001
 3.8893350E+001, 4.9105332E+001
 3.8947270E+001, 4.9138480E+001
 3.9001190E+001, 4.9170523E+001
 3.9109030E+001, 4.9216767E+001
 3.9162950E+001, 4.9261593E+001
 3.9216869E+001, 4.9290720E+001
 3.9270789E+001, 4.9319363E+001
 3.9324709E+001, 4.9347600E+001
 3.9378629E+001, 4.9375461E+001
 3.9432549E+001, 4.9402984E+001
 3.9486469E+001, 4.9430203E+001
 3.9540389E+001, 4.9457217E+001
 3.9648228E+001, 4.9498293E+001
 3.9702148E+001, 4.9540498E+001
 3.9756068E+001, 4.9569406E+001
 3.9809988E+001, 4.9598851E+001
 3.9863908E+001, 4.9628815E+001
 3.9917828E+001, 4.9659148E+001
 3.9971748E+001, 4.9689875E+001
 4.0025667E+001, 4.9720965E+001
 4.0119008E+001, 4.9761840E+001
 4.0165678E+001, 4.9803252E+001
 4.0212348E+001, 4.9831140E+001
 4.0305689E+001, 4.9873178E+001
 4.0352359E+001, 4.9915203E+001
 4.0399030E+001, 4.9943225E+001
 4.0445700E+001, 4.9971194E+001
 4.0543707E+001, 5.0015340E+001
 4.0595045E+001, 5.0061037E+001
 4.0651516E+001, 5.0095843E+001
 4.0707987E+001, 5.0131756E+001
 4.0764458E+001, 5.0168999E+001
 4.0820929E+001, 5.0207432E+001
 4.0877400E+001, 5.0247160E+001
 4.0933871E+001, 5.0287732E+001
 4.0990342E+001, 5.0328767E+001
 4.1046813E+001, 5.0369914E+001
 4.1103284E+001, 5.0410949E+001
 4.1201479E+001, 5.0463961E+001
 4.1250576E+001, 5.0516316E+001
 4.1299674E+001, 5.0550777E+001
 4.1348771E+001, 5.0584894E+001
 4.1446966E+001, 5.0635509E+001
 4.1496064E+001, 5.0685524E+001
 4.1545161E+001, 5.0718560E+001
 4.1594258E+001, 5.0751336E+001
 4.1643356E+001, 5.0783943E+001
 4.1741551E+001, 5.0832430E+001
